Date,Close,High,Low,Open,Volume,Close_diff
2020-01-02,72.40050506591797,72.46076851156026,71.15666666509587,71.40977019424241,135480400,
2020-01-03,71.69664764404297,72.45596582996416,71.47246932030643,71.62915285765841,146322800,-0.703857421875
2020-01-06,72.2679214477539,72.306490935931,70.56849521434884,70.8191932093111,118387200,0.5712738037109375
2020-01-07,71.92805480957031,72.53309491165653,71.70869494472285,72.2775784441153,108872000,-0.33986663818359375
2020-01-08,73.08511352539062,73.38643082203993,71.63155918060959,71.63155918060959,132079200,1.1570587158203125
2020-01-09,74.63749694824219,74.83033706552648,73.81068409472688,74.06137477592067,170108400,1.5523834228515625
2020-01-10,74.80623626708984,75.370308736383,74.30484750773756,74.87132551313572,140644800,0.16873931884765625
2020-01-13,76.40443420410156,76.43095395568463,75.00391177805751,75.12203317921409,121532000,1.5981979370117188
2020-01-14,75.37271118164062,76.5514679630278,75.24977872842311,76.34175230410106,161954400,-1.0317230224609375
2020-01-15,75.04971313476562,76.05249814521463,74.61822463542303,75.17265296599935,121923600,-0.322998046875
2020-01-16,75.98981475830078,76.1007048279931,75.23049658770428,75.5920773695483,108829200,0.9401016235351562
2020-01-17,76.83108520507812,76.83349074089385,75.93195182564011,76.23808752279956,137816400,0.8412704467773438
2020-01-21,76.31040954589844,76.90098699093934,76.1730071029982,76.45986173724447,110843200,-0.5206756591796875
2020-01-22,76.58280944824219,77.13481745633268,76.48879491769239,76.79493065234263,101832400,0.27239990234375
2020-01-23,76.95162963867188,77.03117417903718,76.0886526637108,76.63584965719392,104472000,0.3688201904296875
2020-01-24,76.72984313964844,77.93993070377184,76.53940855639385,77.19748815287878,146537600,-0.2217864990234375
2020-01-27,74.47357177734375,75.15333787807808,73.4924810810553,74.74113795467083,161940000,-2.2562713623046875
2020-01-28,76.58038330078125,76.75152944120848,75.25458738363722,75.35342032568062,162234000,2.1068115234375
2020-01-29,78.18338775634766,79.02948893915872,77.46987057591716,78.209907499375,216229200,1.6030044555664062
2020-01-30,78.07009887695312,78.12313101118072,76.8359045055242,77.26739289963146,126743200,-0.11328887939453125
2020-01-31,74.60855865478516,77.78323285410741,74.31447274556798,77.36138873428479,199588400,-3.4615402221679688
2020-02-03,74.40367126464844,75.56795795185045,72.85128411079334,73.35267280813538,173788400,-0.20488739013671875
2020-02-04,76.86003112792969,77.05046575296248,75.60172957976908,76.00669833273602,136616400,2.45635986328125
2020-02-05,77.48676300048828,78.28465065522497,76.88412837567931,77.98573887898152,118826800,0.6267318725585938
2020-02-06,78.39312744140625,78.39554033416145,77.19991519206019,77.75674904636442,105425600,0.9063644409179688
2020-02-07,77.3275375366211,78.14181565091206,76.83703724788526,77.89294126547146,117684000,-1.0655899047851562
2020-02-10,77.6948013305664,77.6948013305664,75.83428641741939,75.91401971596468,109348800,0.3672637939453125
2020-02-11,77.22605895996094,78.26263625107545,77.0085971005104,78.19015142253798,94323200,-0.46874237060546875
2020-02-12,79.06001281738281,79.06484268174145,77.67549348632544,77.67549348632544,113730400,1.833953857421875
2020-02-13,78.49701690673828,78.82321339617904,78.12974813739189,78.33271303943899,94747600,-0.5629959106445312
2020-02-14,78.51634979248047,78.76522420824622,78.00893385896474,78.4656030374421,80113600,0.0193328857421875
2020-02-18,77.07865905761719,77.25987847546425,76.01791785904396,76.19913727689102,152531200,-1.4376907348632812
2020-02-19,78.19497680664062,78.4245243735885,77.32029218115534,77.32029218115534,93984000,1.1163177490234375
2020-02-20,77.39276123046875,78.44383521283203,76.88776405995536,77.95575362250639,100566000,-0.802215576171875
2020-02-21,75.64098358154297,77.42902110600791,75.02484049800245,76.98684158821678,129554000,-1.7517776489257812
2020-02-24,72.04802703857422,73.49778279969091,69.88547911921196,71.8257352845529,222195200,-3.59295654296875
2020-02-25,69.60758209228516,73.0990790994302,69.13641603822464,72.71731344350151,230673600,-2.4404449462890625
2020-02-26,70.71179962158203,71.97550540185524,69.22580220093633,69.23305068108249,198054800,1.104217529296875
2020-02-27,66.08953094482422,69.10502562675568,65.9542209950426,67.92105987924694,320605600,-4.6222686767578125
2020-02-28,66.05085754394531,67.27107285671417,61.94563554811998,62.1606861550344,426510000,-0.03867340087890625
2020-03-02,72.20024108886719,72.83571844288954,67.10435128397388,68.20616489725688,341397200,6.149383544921875
2020-03-03,69.9072036743164,73.45426993984877,69.05667582944147,73.3745366413102,319475600,-2.2930374145507812
